Country;Economic Region;Population (2020);Coastline(WRI)(km);Coast/Area Ratio (WRI) (m/km2);Happiness Report;GDP Per Capita (2020)
Jamaica;LATAM;2.961.167,00;895,00;82,60;5,890;4.664,53
Japan;APAC;126.476.461,00;29.020,00;79,60;5,886;40.193,25
Jordan;EMEA;10.203.134,00;27,00;304,00;4,906;4.282,77
Kazakhstan;APAC;18.776.707,00;4.528,00;1,68;5,809;9.122,23
Kenya;EMEA;53.771.296,00;1.586,00;2,79;4,509;1.878,58
Kiribati;APAC;119.449,00;1.961,00;2.420,00;#N/A;1.653,54
North Korea;APAC;25.778.816,00;4.009,00;33,30;#N/A;
South Korea;APAC;51.269.185,00;12.478,00;129,00;5,895;31.631,47
Kosovo;EMEA;#N/A;;;6,100;4.346,64
Kuwait;EMEA;4.270.571,00;756,00;42,40;6,021;24.811,77
Kyrgyzstan;APAC;6.524.195,00;0,00;0,00;5,261;1.173,61
Laos;APAC;7.275.560,00;0,00;0,00;4,796;2.629,71
Latvia;EMEA;1.886.198,00;566,00;9,09;5,940;17.726,25
Lebanon;EMEA;6.825.445,00;294,00;28,70;5,197;4.649,55
Lesotho;EMEA;2.142.249,00;0,00;0,00;3,802;875,35
Liberia;EMEA;5.057.681,00;842,00;8,74;3,975;632,94
Libya;EMEA;6.871.292,00;2.025,00;1,15;5,525;3.699,29
Liechtenstein;EMEA;38.128,00;0;0;#N/A;
Lithuania;EMEA;2.722.289,00;258,00;4,12;6,149;20.233,64
Luxembourg;EMEA;625.978,00;0,00;0,00;7,090;116.014,60
Madagascar;EMEA;27.691.018,00;9.935,00;17,10;3,933;471,49
Malawi;EMEA;19.129.952,00;0,00;0,00;3,410;636,82
Malaysia;APAC;32.365.999,00;9.323,00;28,40;5,339;10.412,35
Maldives;EMEA;540.544,00;2.002,00;6,72;#N/A;6.924,11
Mali;EMEA;20.250.833,00;0,00;0,00;4,390;862,45
Malta;EMEA;441.543,00;198,00;627,00;6,726;27.884,64
Marshall Islands;APAC;5.919,00;2.106,00;11.600,00;#N/A;4.129,85
Mauritania;EMEA;4.649.658,00;1.268,00;1,23;4,490;1.701,99
Mauritius;EMEA;1.271.768,00;496,00;244,00;5,888;8.627,84
Mexico;LATAM;128.932.753,00;23.761,00;12,20;6,595;8.329,27
Micronesia, Federated States of;APAC;548.914,00;1.295,00;1,84;#N/A;3.565,29
Moldova;EMEA;4.033.963,00;0,00;0,00;5,529;4.547,06
Monaco;EMEA;39.242,00;1;500;#N/A;173.688,19
Mongolia;APAC;3.278.290,00;0,00;0,00;5,285;4.060,95
Montenegro;EMEA;628.066,00;;;5,523;7.677,15
Morocco;EMEA;36.910.560,00;2.009,00;2,80;5,208;3.058,69
Mozambique;EMEA;31.255.435,00;6.942,00;8,83;4,466;448,54
Myanmar (ex-Burma);APAC;54.409.800,00;14.708,00;22,50;4,360;1.467,60
Namibia;EMEA;2.540.905,00;1.754,00;2,13;4,639;4.179,28
Nauru;APAC;10.824,00;;;#N/A;10.580,27
Nepal;APAC;29.136.808,00;0,00;0,00;4,913;1.155,14
Netherlands;EMEA;17.134.872,00;1.914,00;56,50;7,488;52.397,12
New Zealand;APAC;4.822.233,00;17.209,00;65,10;7,307;41.441,47
Nicaragua;LATAM;6.624.554,00;1.915,00;16,00;6,105;1.905,26
Niger;EMEA;24.206.644,00;0,00;0,00;4,628;567,67
Nigeria;EMEA;206.139.589,00;3.122,00;3,43;5,265;2.097,09
North Macedonia;EMEA;2.083.374,00;0,00;0,00;5,274;5.917,26
Norway;EMEA;5.421.241,00;53.199,00;175,00;7,554;67.329,68
Oman;EMEA;5.106.626,00;2.810,00;9,08;#N/A;14.485,39
Pakistan;APAC;220.892.340,00;2.599,00;3,37;5,653;1.188,86
Palau;APAC;18.094,00;;;#N/A;14.243,86
Panama;LATAM;4.314.767,00;5.637,00;75,80;6,321;12.509,84
Papua New Guinea;APAC;8.947.024,00;20.197,00;44,60;#N/A;2.757,22
Paraguay;LATAM;7.132.538,00;0,00;0,00;5,743;5.001,07
Peru;LATAM;32.971.854,00;3.362,00;2,63;5,697;6.126,87
Philippines;APAC;109.581.078,00;33.900,00;114,00;5,631;3.298,83
Poland;EMEA;37.846.611,00;1.032,00;3,39;6,182;15.720,99
Portugal;EMEA;10.196.709,00;2.830,00;30,90;5,693;22.176,30
Qatar;EMEA;2.881.053,00;909,00;78,50;6,374;50.124,39
Romania;EMEA;19.237.691,00;696,00;3,03;6,070;12.896,09
Russia (Russian Fed.);APAC;145.934.462,00;110.310,00;6,74;5,648;10.126,72
Rwanda;EMEA;12.952.218,00;0,00;0,00;3,334;797,86
Saint Kitts and Nevis;LATAM;53.199,00;;;#N/A;18.437,75
Saint Lucia;LATAM;183.627,00;166,00;274,00;#N/A;8.804,56
Saint Vincent and the Grenadines;LATAM;11.094,00;264,00;679,00;#N/A;7.278,02
Samoa;APAC;198.414,00;463,00;164,00;#N/A;4.067,84
San Marino;EMEA;33.931,00;0;0;#N/A;
Sao Tome and Principe;EMEA;219.159,00;269,00;279,00;#N/A;2.157,84
Arabia, Saudi;EMEA;34.813.871,00;7.572,00;3,52;6,375;20.110,32
Senegal;EMEA;16.743.927,00;1.327,00;6,89;4,681;1.471,83
Serbia;EMEA;8.737.371,00;;;5,603;7.720,51
Seychelles;EMEA;98.347,00;747,00;1.640,00;#N/A;10.764,42
Sierra Leone;EMEA;7.976.983,00;1.677,00;23,40;4,374;509,38
Singapore;APAC;5.850.342,00;268,00;378,00;6,262;59.797,75
Slovakia;EMEA;5.459.642,00;0,00;0,00;6,198;19.266,51
Slovenia;EMEA;2.078.938,00;41,00;2,03;6,118;25.517,33
Solomon Islands;APAC;686.884,00;9.880,00;353,00;#N/A;2.250,60
Somalia;EMEA;15.893.222,00;3.898,00;6,21;4,668;438,26
South Africa;EMEA;59.308.690,00;3.751,00;3,09;4,722;5.655,87
Spain;EMEA;46.754.778,00;7.268,00;14,60;6,354;27.063,19
Sri Lanka (ex-Ceilan);APAC;21.413.249,00;2.825,00;43,70;4,366;3.680,67
Sudan;EMEA;43.849.260,00;2.245,00;1,30;#N/A;486,42
South Sudan;EMEA;11.193.725,00;0;0;2,853;
Suriname;LATAM;586.632,00;620,00;3,97;#N/A;4.916,61
Sweden;EMEA;10.099.265,00;26.384,00;64,30;7,343;52.274,41
Switzerland;EMEA;8.654.622,00;0,00;0,00;7,480;87.097,04
Syria;EMEA;17.500.658,00;212,00;1,14;3,462;
Taiwan;APAC;#N/A;#N/A;#N/A;6,446;#N/A
Tajikistan;APAC;9.537.645,00;0,00;0,00;5,467;859,14
