Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]","International tourism, expenditures (% of total imports) [ST.INT.XPND.MP.ZS]","International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, expenditures for passenger transport items (current US$) [ST.INT.TRNX.CD]","International tourism, expenditures for travel items (current US$) [ST.INT.TVLX.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, number of departures [ST.INT.DPRT]",Losses due to theft and vandalism (% of annual sales of affected firms) [IC.FRM.CRIM.ZS],Consumer price index (2010 = 100) [FP.CPI.TOTL],Price level ratio of PPP conversion factor (GDP) to market exchange rate [PA.NUS.PPPC.RF]
2019,YR2019,Bangladesh,BGD,"5550,032778","2,16241812",1389000000,469000000,920000000,323000,,,"179,6798217","0,372428492"
2020,YR2020,Bangladesh,BGD,"5684,113533","1,160694395",659000000,265000000,394000000,,,,"189,9055347","0,378681109"
2021,YR2021,Bangladesh,BGD,"6019,518752",,,,,,,,"200,4370392","0,378502776"
2019,YR2019,Barbados,BRB,"15499,80821",,,,,966000,,,"134,0911741","1,143994644"
2020,YR2020,Barbados,BRB,"13316,48739",,,,,,,,,"1,161826288"
2021,YR2021,Barbados,BRB,"13487,10189",,,,,,,,,"1,149631831"
2019,YR2019,Belarus,BLR,"19279,20925","2,88947777",1224500000,102000000,1122500000,11832000,9221000,,"508,3392944","0,340305506"
2020,YR2020,Belarus,BLR,"19186,77581","1,351803255",477000000,32000000,445000000,3598000,2810000,,"536,5426883","0,323923916"
2021,YR2021,Belarus,BLR,"19751,20391",,,,,,,,"587,3011498","0,336597983"
2019,YR2019,Belgium,BEL,"51937,42361","4,81069755",20998000000,2259000000,18739000000,9343000,14191000,,"117,1104572","0,858520524"
2020,YR2020,Belgium,BEL,"48752,50159","3,394909873",13928000000,893000000,13035000000,2584000,5850000,"1,1","117,9780019","0,851501488"
2021,YR2021,Belgium,BEL,"51601,88777",,,,,,,,"120,8569583","0,878448431"
2019,YR2019,Belize,BLZ,"7152,657414","3,773294614","45400001,53",2000000,"43400001,53",1674000,,,,"0,66849748"
2020,YR2020,Belize,BLZ,"5845,706062","2,443950413","22040000,92","1490000,01","20549999,24",487000,,,,"0,646755404"
2021,YR2021,Belize,BLZ,"6300,274443",,,,,,,,,"0,6386655"
2019,YR2019,Benin,BEN,"3287,309538","3,0186217",130000000,36000000,94000000,337000,,,"110,7200402","0,355953892"
2020,YR2020,Benin,BEN,"3323,144451",,,,,,,,"114,0667983","0,368328096"
2021,YR2021,Benin,BEN,"3449,199483",,,,,,,,"116,044206","0,376971268"
2019,YR2019,Bermuda,BMU,"81681,72667","15,37892575",342000000,78000000,264000000,805000,,,,"1,364435973"
2020,YR2020,Bermuda,BMU,"76105,13806","12,30149481",212000000,21000000,191000000,"51400,00153",,,,"1,341745421"
2021,YR2021,Bermuda,BMU,"77546,61033",,,,,,,,,"1,301402099"
2019,YR2019,Bhutan,BTN,"11864,76625","5,448371692",67000000,,67000000,316000,72000,,"167,1824587","0,268720198"
2020,YR2020,Bhutan,BTN,"10551,45185","4,207068079",50000000,,50000000,"29799,99924",,,"176,5948174","0,269628432"
2021,YR2021,Bhutan,BTN,,,,,,,,,"189,5689536",
2019,YR2019,Bolivia,BOL,"8724,474187","9,29140481",1111000000,174000000,937000000,1239000,1160000,,"148,3175185","0,390651094"
2020,YR2020,Bolivia,BOL,"7853,053972","3,931778572",325000000,51000000,274000000,"323299,9878",432000,,"149,7128039","0,378840989"
2021,YR2021,Bolivia,BOL,"8219,942366",,,,,,,,"150,8167617","0,37815573"
2019,YR2019,Bosnia and Herzegovina,BIH,"14896,79651","3,523208711",393000000,108000000,285000000,1198000,,"1,5","104,8961374","0,389514974"
2020,YR2020,Bosnia and Herzegovina,BIH,"14520,90604","1,679757108",163000000,51000000,112000000,197000,,,"103,7933684","0,389934538"
2021,YR2021,Bosnia and Herzegovina,BIH,"15634,92656",,,,,,,,"105,8501783","0,410557471"
2019,YR2019,Botswana,BWA,"16404,44491","3,829868409","294700012,2","3700000,048",291000000,,,,"149,7536988","0,423905916"
2020,YR2020,Botswana,BWA,"14667,80372","1,24911496","91800003,05","2799999,952",89000000,,,,"152,5845815","0,410367359"
2021,YR2021,Botswana,BWA,"16023,85462",,,,,,,,"163,633197","0,417386187"
2019,YR2019,Brazil,BRA,"14736,15606","7,872354396",21178000000,3585000000,17593000000,6353000,,,"167,3978603","0,577940364"
2020,YR2020,Brazil,BRA,"14063,97183","2,848309203",6490000000,1096000000,5394000000,,,,"172,7742913","0,459403171"
2021,YR2021,Brazil,BRA,"14615,04558",,,,,,,,"187,1174251","0,468287663"
2019,YR2019,"Virgin Islands, British",VGB,,,,,,"302399,9939",,,,
2020,YR2020,"Virgin Islands, British",VGB,,,,,,83000,,,,
2021,YR2021,"Virgin Islands, British",VGB,,,,,,,,,,
2019,YR2019,Brunei Darussalam,BRN,"62098,01138",,,,613000000,4449000,,,"99,02681657","0,48032328"
2020,YR2020,Brunei Darussalam,BRN,"62200,88204",,,,97000000,1071000,,,"100,9482537","0,41829084"
2021,YR2021,Brunei Darussalam,BRN,"60640,97344",,,,,,,,"102,6981047","0,476174146"
2019,YR2019,Bulgaria,BGR,"23265,87692","5,248238578",2196000000,371000000,1825000000,12552000,7007000,"2,6","114,4183932","0,403274506"
2020,YR2020,Bulgaria,BGR,"22379,09431","3,306509504",1263000000,215000000,1048000000,4973000,3973000,,"116,3319732","0,410316878"
2021,YR2021,Bulgaria,BGR,"23431,96761",,,,,,,,"120,1683043","0,435677956"
2019,YR2019,Burkina Faso,BFA,"2175,50468","3,686928085","185199996,9","70599998,47","114599998,5",143000,,,"108,3590229","0,351125941"
2020,YR2020,Burkina Faso,BFA,"2155,76936",,,,,67000,,,"110,4012662","0,377307105"
2021,YR2021,Burkina Faso,BFA,"2240,992193",,,,,,,,"114,4345199","0,37293822"
2019,YR2019,Burundi,BDI,"751,4434047",,,,,,,,"182,11234","0,285846461"
2020,YR2020,Burundi,BDI,"731,0640736",,,,,,,,"195,4449782","0,303251375"
2021,YR2021,Burundi,BDI,"722,0462735",,,,,,,,"211,8712266","0,298518076"
2019,YR2019,Cabo Verde,CPV,"7171,826425","8,304827835",107000000,22000000,85000000,758000,,,"110,5016065","0,482141978"
2020,YR2020,Cabo Verde,CPV,"6045,060885","5,855345524",59000000,7000000,52000000,180000,,,"111,1710206","0,480585574"
